aX,aY,aZ,gX,gY,gZ
0.825,0.451,-0.037,1.404,-4.639,-9.033
0.855,0.467,-0.043,1.709,-5.249,-7.324
0.857,0.489,-0.023,4.150,-6.775,-5.310
0.856,0.496,-0.013,6.714,-7.690,-4.150
0.853,0.497,-0.026,6.775,-6.897,-3.479
0.840,0.504,-0.020,6.226,-5.798,-2.563
0.837,0.535,-0.008,3.845,-4.333,-2.197
0.850,0.575,-0.010,0.854,-3.479,-2.808
0.844,0.587,0.000,1.953,-4.639,-4.333
0.841,0.556,0.005,4.883,-5.676,-6.836
0.851,0.526,0.010,5.737,-5.371,-9.155
0.864,0.524,0.003,4.517,-4.272,-9.705
0.867,0.506,-0.002,2.991,-2.930,-10.071
0.859,0.495,-0.000,2.136,-1.648,-9.827
0.849,0.491,-0.003,0.244,-0.061,-9.033
0.851,0.493,-0.000,-1.892,1.343,-8.423
0.848,0.496,0.005,-2.563,2.991,-7.446
0.831,0.490,0.021,-2.197,4.700,-7.202
0.856,0.504,0.034,-2.625,6.531,-6.897
0.845,0.492,0.019,-3.967,6.958,-7.324
0.849,0.489,-0.000,-3.784,8.240,-8.057
0.842,0.483,-0.021,-4.211,7.446,-8.362
0.848,0.467,-0.061,-5.005,5.493,-8.606
0.831,0.457,-0.078,-5.676,1.709,-8.728
0.863,0.450,-0.062,-2.625,-2.014,-7.446
0.856,0.448,-0.049,-0.549,-4.883,-5.371
0.862,0.460,-0.032,-1.587,-6.042,-3.296
0.877,0.479,-0.028,-1.404,-6.226,-2.075
0.872,0.500,-0.009,-0.488,-4.883,-1.038
0.870,0.520,-0.028,-0.671,-2.930,-0.610
0.874,0.540,-0.042,-0.427,-2.197,-0.549
0.870,0.553,-0.039,-0.427,-1.709,-1.465

1.726,-0.308,-1.276,-20.752,-39.490,49.255
1.867,-0.494,-1.474,-37.781,-50.842,55.420
1.822,-0.706,-1.478,-43.884,-72.021,61.646
1.658,-0.953,-1.416,-51.575,-84.106,70.007
1.498,-1.063,-1.317,-64.697,-84.106,89.417
1.363,-1.203,-0.981,-71.838,-90.881,115.784
1.239,-1.225,-0.586,-80.688,-97.046,143.127
1.046,-1.158,-0.162,-88.867,-95.520,170.288
0.843,-1.021,0.151,-83.191,-83.557,198.364
0.489,-0.941,0.323,-55.481,-71.655,218.689
-0.012,-0.822,0.522,-8.484,-72.021,238.464
-0.516,-0.434,0.755,36.499,-78.064,266.968
-0.925,0.343,1.068,59.998,-86.731,291.565
-1.196,1.591,1.494,42.908,-97.046,309.448
-1.078,3.027,1.445,2.502,-64.941,320.068
-0.913,3.821,0.875,-23.499,0.427,267.395
-0.888,3.762,0.137,-16.846,33.691,185.913
-1.108,3.179,0.069,-4.822,7.812,104.370
-1.097,2.628,0.579,-20.996,-38.513,50.659
-0.976,2.417,1.197,-54.382,-52.002,30.396
-0.729,2.322,1.333,-77.271,-26.062,17.578
-0.536,2.123,1.192,-68.542,6.226,-2.502
-0.364,1.872,0.958,-38.452,24.719,-24.353
-0.235,1.603,0.692,-4.700,32.898,-42.053
-0.128,1.304,0.389,23.315,40.039,-54.260
-0.027,1.033,0.064,37.415,49.377,-61.157
0.073,0.861,-0.130,37.354,54.199,-59.631
0.124,0.746,-0.285,26.855,54.871,-56.519
0.182,0.658,-0.270,10.498,49.805,-56.458
0.268,0.616,-0.213,-3.357,43.762,-53.650
0.401,0.652,-0.151,-8.911,39.001,-49.438
0.500,0.652,-0.080,-7.751,33.691,-49.133
0.520,0.623,-0.026,-2.869,24.414,-51.270
0.540,0.580,0.000,1.404,20.325,-51.575
0.591,0.556,0.017,4.272,20.020,-48.218
0.601,0.556,0.044,4.822,19.165,-43.884
0.597,0.578,0.042,7.019,21.240,-40.894
0.568,0.520,0.011,7.874,25.391,-44.250
0.607,0.574,-0.003,9.277,28.748,-39.307
0.649,0.618,0.012,9.705,26.917,-31.067
0.671,0.692,0.008,10.376,26.123,-25.574
0.671,0.768,-0.019,12.695,26.123,-22.888
0.688,0.802,-0.082,16.418,26.855,-24.048
0.695,0.835,-0.103,20.203,25.696,-24.963
0.681,0.837,-0.111,22.034,22.705,-27.039
0.665,0.836,-0.118,20.996,20.386,-30.029
0.624,0.815,-0.087,18.372,16.357,-32.654
0.617,0.778,-0.065,15.076,13.000,-34.119
0.593,0.762,0.022,10.620,8.301,-33.875
0.618,0.739,0.059,8.606,8.911,-33.569
0.592,0.729,0.075,7.019,13.611,-33.325
0.629,0.690,-0.001,8.423,18.616,-32.715
0.590,0.702,-0.009,11.047,18.005,-31.616
0.628,0.710,-0.051,13.184,15.625,-30.640
0.642,0.737,-0.095,15.076,13.062,-29.968
0.630,0.709,-0.125,17.639,8.728,-30.701
0.621,0.674,-0.145,17.334,4.578,-30.518
0.623,0.663,-0.125,13.916,1.892,-28.687
0.649,0.682,-0.090,8.484,1.526,-26.428
0.682,0.707,-0.058,3.174,2.869,-25.391
0.695,0.715,-0.014,1.160,4.028,-25.879
0.725,0.739,0.025,1.648,5.310,-27.100
0.720,0.745,0.028,3.357,7.751,-29.053
0.742,0.731,0.028,4.639,8.606,-31.616
0.721,0.705,0.026,7.996,8.301,-33.752
0.753,0.686,0.002,11.047,9.033,-34.729
0.764,0.698,0.033,9.338,7.935,-34.363
0.801,0.667,0.044,6.775,9.644,-34.851
0.782,0.646,0.067,6.104,11.597,-35.095
0.781,0.614,0.053,5.920,15.503,-34.485
0.764,0.588,0.039,3.967,18.494,-32.898
0.746,0.568,0.032,2.319,20.386,-30.151
0.722,0.566,0.052,1.099,21.362,-26.855
0.774,0.609,0.018,0.854,22.522,-24.414
0.764,0.604,0.002,2.502,22.034,-23.010
0.754,0.610,-0.017,2.563,19.592,-21.729
0.793,0.630,-0.048,1.770,17.761,-20.508
0.777,0.667,-0.021,0.183,15.137,-19.165
0.796,0.682,-0.027,-0.793,15.381,-19.348
0.794,0.667,-0.037,1.526,16.907,-19.775
0.772,0.650,-0.042,1.648,17.639,-19.470
0.772,0.652,-0.049,-0.427,18.677,-19.409
0.795,0.667,-0.052,-3.723,18.005,-19.470
0.788,0.667,-0.056,-4.517,18.127,-19.897
0.775,0.626,-0.055,-2.808,16.663,-20.752
0.770,0.613,-0.056,-3.235,14.771,-20.569
0.758,0.599,-0.054,-4.150,13.672,-19.714
0.751,0.594,-0.053,-3.723,13.367,-18.677
0.740,0.583,-0.057,-3.174,14.160,-17.639
0.738,0.580,-0.066,-3.418,14.465,-16.357
0.748,0.571,-0.064,-3.906,14.282,-15.259
0.771,0.575,-0.072,-4.150,13.977,-14.099
0.774,0.563,-0.073,-3.784,13.306,-13.489
0.760,0.542,-0.073,-2.869,13.855,-12.634
0.784,0.557,-0.077,-2.563,14.832,-10.071
0.818,0.580,-0.102,-3.052,12.634,-8.423
0.816,0.583,-0.091,-4.272,8.728,-9.460
0.803,0.586,-0.064,-3.906,4.211,-10.803
0.776,0.563,-0.059,-2.808,3.113,-11.902
0.761,0.545,-0.061,-1.831,3.418,-12.024
0.773,0.546,-0.063,-2.197,3.052,-11.108
0.783,0.554,-0.057,-2.930,2.502,-9.766
0.794,0.552,-0.059,-2.808,2.563,-9.033
0.802,0.558,-0.062,-2.319,2.258,-8.484
0.804,0.557,-0.064,-1.831,2.136,-8.423
0.814,0.575,-0.065,-1.099,1.587,-8.301
0.801,0.577,-0.069,-1.099,1.038,-8.911
0.801,0.572,-0.065,-0.305,1.099,-9.705
0.812,0.568,-0.080,0.488,0.671,-9.644
0.809,0.553,-0.075,1.465,-0.305,-10.071
0.789,0.529,-0.069,1.282,-1.526,-9.583
0.779,0.514,-0.071,0.305,-1.587,-8.179
0.784,0.514,-0.080,-1.038,-1.099,-6.226
0.792,0.523,-0.083,-2.197,-0.183,-4.395
0.803,0.538,-0.097,-3.418,-0.061,-3.052
0.813,0.559,-0.088,-4.028,-1.892,-2.441
0.820,0.585,-0.059,-3.784,-4.272,-2.502
0.826,0.607,-0.069,-2.869,-4.761,-3.479
0.811,0.596,-0.056,-0.366,-5.432,-4.944

