aX,aY,aZ,gX,gY,gZ
0.425,-0.789,0.485,-12.695,0.916,5.676
0.420,-0.770,0.436,-12.207,5.737,8.545
0.427,-0.732,0.384,-12.451,7.935,10.498
0.456,-0.700,0.339,-13.977,6.775,10.376
0.471,-0.691,0.313,-16.052,2.258,7.385
0.482,-0.700,0.340,-18.250,-6.348,2.563
0.478,-0.725,0.393,-19.836,-17.944,-2.380
0.455,-0.761,0.429,-20.935,-28.381,-6.775
0.409,-0.774,0.485,-22.034,-34.485,-8.850
0.374,-0.791,0.527,-22.156,-32.776,-8.606
0.357,-0.793,0.532,-21.484,-25.818,-5.920
0.353,-0.787,0.545,-22.278,-17.090,-1.770
0.347,-0.781,0.536,-23.010,-7.019,3.113
0.358,-0.748,0.505,-23.437,2.441,7.751
0.386,-0.732,0.471,-22.949,8.606,9.399
0.415,-0.703,0.422,-22.400,7.874,8.728
0.430,-0.687,0.407,-22.339,0.793,5.615
0.421,-0.687,0.404,-23.376,-8.484,1.038
0.403,-0.690,0.423,-24.719,-17.151,-2.747
0.381,-0.695,0.433,-25.635,-22.461,-5.554
0.344,-0.704,0.427,-26.550,-24.780,-7.263
0.328,-0.704,0.446,-28.015,-26.184,-6.897
0.326,-0.703,0.481,-28.687,-25.208,-5.066
0.340,-0.718,0.502,-30.334,-23.437,-3.479
0.343,-0.732,0.590,-31.555,-22.949,-1.953
0.359,-0.759,0.620,-31.372,-22.400,-0.122
0.371,-0.757,0.658,-30.884,-21.667,2.258
0.369,-0.753,0.675,-29.480,-19.592,4.150
0.372,-0.737,0.636,-28.442,-15.381,5.981
0.356,-0.733,0.581,-27.161,-10.193,7.263
0.341,-0.720,0.548,-27.649,-7.202,10.010
0.349,-0.703,0.527,-28.137,-5.310,12.573
0.359,-0.690,0.504,-28.564,-4.395,14.771
0.387,-0.636,0.479,-29.907,-3.601,15.625
0.439,-0.616,0.441,-31.738,-5.432,13.916
0.467,-0.607,0.487,-34.485,-13.977,9.399
0.464,-0.614,0.535,-36.987,-23.926,3.662
0.447,-0.646,0.589,-38.452,-31.616,-1.404
0.409,-0.685,0.669,-39.001,-36.377,-4.333
